318,43,1
268,44,1
374,153,1
273,122,1
260,72,1
342,54,1
325,22,1
347,128,1
294,50,1
236,97,1
290,37,1
309,118,1
239,138,1
263,141,1
299,164,1
381,89,1
254,150,1
371,62,1
322,126,1
270,165,1
321,133,1
288,32,1
330,112,1
328,27,1
269,167,1
311,143,1
300,169,1
273,106,1
319,72,1
293,48,1
345,117,1
377,151,1
349,118,1
345,170,1
379,80,1
331,159,1
377,109,1
374,153,1
302,114,1
286,90,1
349,131,1
343,83,1
250,106,1
300,127,1
274,178,1
279,95,1
269,159,1
301,69,1
371,84,1
337,84,1
241,103,1
316,172,1
341,60,1
238,106,1
322,98,1
258,61,1
340,38,1
331,179,1
342,113,1
323,135,1
284,70,1
357,153,1
333,162,1
341,78,1
274,153,1
256,147,1
347,148,1
262,68,1
310,64,1
366,155,1
251,109,1
248,66,1
334,170,1
379,61,1
460,292,2
384,313,2
451,280,2
387,182,2
384,239,2
421,259,2
347,269,2
383,300,2
462,294,2
393,210,2
460,321,2
487,278,2
425,283,2
413,232,2
350,301,2
474,188,2
435,276,2
476,305,2
370,295,2
359,241,2
454,190,2
399,225,2
406,173,2
417,326,2
403,172,2
382,215,2
418,321,2
439,314,2
448,175,2
415,245,2
489,274,2
365,290,2
445,186,2
472,272,2
480,297,2
436,302,2
381,180,2
359,278,2
457,273,2
376,268,2
395,324,2
368,287,2
409,259,2
393,285,2
484,260,2
496,267,2
489,271,2
471,207,2
432,179,2
434,319,2
367,308,2
361,280,2
426,307,2
386,175,2
391,222,2
418,178,2
444,263,2
431,175,2
463,245,2
414,180,2
384,307,2
402,338,2
443,185,2
489,291,2
380,184,2
450,228,2
441,279,2
369,228,2
490,239,2
421,312,2
449,255,2
358,207,2
427,216,2
404,293,2
184,169,3
178,243,3
110,237,3
147,263,3
145,189,3
165,155,3
107,254,3
114,216,3
209,218,3
103,201,3
115,203,3
200,166,3
102,261,3
150,241,3
163,170,3
164,170,3
126,274,3
87,231,3
92,190,3
102,206,3
153,208,3
111,213,3
166,258,3
166,179,3
155,249,3
102,275,3
154,205,3
89,188,3
185,171,3
205,172,3
111,239,3
87,229,3
138,186,3
168,285,3
199,194,3
101,217,3
204,205,3
191,166,3
126,261,3
183,206,3
197,200,3
195,273,3
170,273,3
152,138,3
121,222,3
89,182,3
186,195,3
143,147,3
147,247,3
220,222,3
81,195,3
153,286,3
203,278,3
210,168,3
169,157,3
140,251,3
139,273,3
134,178,3
154,142,3
86,186,3
172,255,3
182,207,3
131,219,3
109,183,3
146,221,3
197,281,3
185,159,3
215,207,3
155,220,3
103,198,3
88,210,3
109,171,3
140,231,3
168,169,3
184,440,4
72,418,4
107,466,4
89,415,4
102,419,4
113,441,4
79,435,4
85,401,4
164,420,4
71,388,4
150,365,4
169,365,4
170,426,4
178,454,4
67,456,4
110,381,4
104,354,4
94,360,4
131,386,4
169,466,4
136,456,4
108,476,4
136,434,4
138,460,4
135,448,4
83,395,4
163,356,4
93,471,4
97,374,4
139,471,4
92,430,4
109,390,4
98,402,4
124,378,4
90,368,4
174,443,4
102,434,4
98,427,4
90,461,4
179,468,4
68,457,4
88,408,4
117,393,4
60,435,4
72,438,4
176,365,4
58,410,4
138,448,4
105,453,4
169,470,4
93,476,4
92,448,4
58,380,4
104,397,4
84,390,4
79,477,4
62,424,4
171,410,4
86,431,4
138,452,4
128,448,4
115,460,4
65,446,4
155,387,4
72,426,4
158,461,4
120,357,4
173,433,4
160,416,4
127,357,4
138,442,4
128,449,4
170,437,4
108,356,4
225,406,5
227,389,5
258,371,5
286,335,5
282,333,5
313,452,5
364,403,5
315,443,5
319,403,5
337,407,5
324,440,5
249,426,5
235,400,5
234,360,5
331,449,5
369,406,5
215,372,5
349,421,5
346,358,5
283,322,5
223,392,5
296,422,5
368,421,5
342,354,5
334,376,5
334,344,5
269,386,5
279,357,5
235,348,5
237,348,5
293,367,5
218,361,5
300,413,5
225,357,5
255,441,5
271,362,5
329,339,5
365,417,5
238,326,5
357,397,5
371,378,5
368,420,5
264,392,5
226,380,5
373,371,5
350,395,5
303,408,5
220,412,5
316,402,5
273,422,5
228,335,5
274,351,5
279,401,5
261,365,5
339,381,5
280,449,5
321,385,5
289,423,5
357,431,5
285,428,5
264,335,5
313,462,5
354,418,5
367,358,5
308,311,5
316,357,5
317,453,5
291,457,5
250,425,5
346,360,5
264,343,5
341,383,5
364,394,5
348,356,4
457,134,0
162,59,0
38,218,0
432,356,0
39,356,0
28,422,0
196,177,2
46,160,0
334,48,0
110,263,2
76,477,3
391,87,0
84,212,2
78,314,0
394,100,0
194,390,0
173,261,2
280,117,0
418,140,0
368,448,0
315,473,0
314,197,0
433,24,0
169,76,0
17,369,0
467,154,0
279,278,0
72,454,3
162,74,0
194,419,0
347,238,1
348,307,0
39,377,0
98,410,3
258,256,0
191,46,0
181,257,2
205,295,0
145,448,3
19,313,0
152,426,3
263,444,4
469,238,1
452,39,0
270,271,0
409,70,0
304,312,4
41,325,0
239,273,0
3,460,0
392,254,1
455,200,1
214,50,0
474,185,0
130,183,2
360,265,1
377,4,0
336,486,0
322,218,0
53,470,0
266,225,0
26,13,0
41,110,0
211,160,0
35,75,0
94,4,0
32,215,0
103,184,2
228,201,2
308,53,0
122,207,2
158,330,0
228,93,0
436,350,0
414,169,0
303,280,0
420,182,1
195,278,2
138,90,0
415,51,0
367,87,0
66,262,0
461,489,0
308,271,0
162,106,0
392,164,0
417,128,0
418,52,0
133,125,0
18,48,0
326,470,0
410,294,1
128,91,0
202,452,0
447,236,1
467,119,0
204,98,0
458,76,0
166,459,3
411,410,0
54,181,0
121,46,0
22,481,0
363,134,0
331,114,0
11,277,0
14,149,0
164,113,0
45,17,0
395,18,0
87,165,0
312,23,0
151,229,2
190,150,0
358,405,4
246,223,0
305,44,0
238,55,0
488,112,0
176,289,0
164,34,0
328,489,0
259,496,0
143,211,2
422,297,1
355,52,0
242,76,0
260,154,0
242,421,4
43,73,0
